Zeit	Kanal A	Kanal B
(s)	(V)	(V)

0.86576651	3.82458000	1.81279900
0.86710051	3.82458000	1.81279900
0.86843451	3.82458000	1.81279900
0.86976851	3.82458000	1.81279900
0.87110251	3.82458000	1.81279900
0.87243651	3.64574100	1.81279900
0.87377051	3.82458000	1.81279900
0.87510451	3.64574100	1.81279900
0.87643851	3.64574100	1.81279900
0.87777251	3.82458000	1.81279900
0.87910651	3.64574100	1.81279900
0.88044051	3.64574100	1.81279900
0.88177451	3.82458000	1.81279900
0.88310851	3.82458000	1.81279900
0.88444251	3.64574100	1.81279900
0.88577651	3.82458000	1.81279900
0.88711051	3.82458000	1.90160800
0.88844451	3.82458000	1.81279900
0.88977851	3.82458000	1.81279900
0.89111251	3.82458000	1.81279900
0.89244651	3.64574100	1.81279900
0.89378051	3.64574100	1.81279900
0.89511451	3.64574100	1.81279900
0.89644851	3.64574100	1.81279900
0.89778251	3.64574100	1.81279900
0.89911651	3.64574100	1.81279900
0.90045051	3.82458000	1.81279900
0.90178451	3.64574100	1.81279900
0.90311851	3.64574100	1.81279900
0.90445251	3.82458000	1.81279900
0.90578651	3.82458000	1.81279900
0.90712051	3.64574100	1.81279900
0.90845451	3.82458000	1.81279900
0.90978851	3.64574100	1.81279900
0.91112251	3.82458000	1.81279900
0.91245651	3.82458000	1.81279900
0.91379051	3.64574100	1.81279900
0.91512451	3.64574100	1.81279900
0.91645851	3.64574100	1.81279900
0.91779251	3.82458000	1.81279900
0.91912651	3.64574100	1.81279900
0.92046051	3.64574100	1.90160800
0.92179451	3.64574100	1.81279900
0.92312851	3.82458000	1.81279900
0.92446251	3.64574100	1.81279900
0.92579651	3.82458000	1.81279900
0.92713051	3.64574100	1.81279900
0.92846451	3.64574100	1.90160800
0.92979851	3.82458000	1.81279900
0.93113251	3.64574100	1.81279900
0.93246651	3.64574100	1.90160800
0.93380051	3.64574100	1.81279900
0.93513451	3.64574100	1.90160800
0.93646851	3.64574100	1.81279900
0.93780251	3.64574100	1.81279900
0.93913651	3.64574100	1.81279900
0.94047051	3.64574100	1.81279900
0.94180451	3.64574100	1.81279900
0.94313851	3.64574100	1.90160800
0.94447251	3.64574100	1.81279900
0.94580651	3.64574100	1.90160800
0.94714051	3.64574100	1.81279900
0.94847451	3.64574100	1.81279900
0.94980851	3.64574100	1.90160800
0.95114251	3.64574100	1.81279900
0.95247651	3.64574100	1.81279900
0.95381051	3.64574100	1.81279900
0.95514451	3.64574100	1.81279900
0.95647851	3.64574100	1.81279900
0.95781251	3.64574100	1.81279900
0.95914651	3.64574100	1.81279900
0.96048051	3.64574100	1.90160800
0.96181451	3.64574100	1.81279900
0.96314851	3.64574100	1.81279900
0.96448251	3.64574100	1.81279900
0.96581651	3.82458000	1.90160800
0.96715051	3.64574100	1.81279900
0.96848451	3.82458000	1.81279900
0.96981851	3.82458000	1.81279900
0.97115251	3.64574100	1.81279900
0.97248651	3.64574100	1.81279900
0.97382051	3.64574100	1.81279900
0.97515451	3.64574100	1.81279900
0.97648851	3.64574100	1.81279900
0.97782251	3.64574100	1.81279900
0.97915651	3.46751300	1.81279900
0.98049051	3.64574100	1.81279900
0.98182451	3.64574100	1.81279900
0.98315851	3.64574100	1.81279900
0.98449251	3.64574100	1.90160800
0.98582651	3.64574100	1.81279900
0.98716051	3.64574100	1.90160800
0.98849451	3.64574100	1.81279900
0.98982851	3.64574100	1.81279900
0.99116251	3.64574100	1.81279900
0.99249651	3.64574100	1.90160800
0.99383051	3.64574100	1.90160800
0.99516451	3.64574100	1.81279900
0.99649851	3.64574100	1.81279900
0.99783251	3.64574100	1.90160800
0.99916651	3.64574100	1.90160800
1.00050051	3.64574100	1.81279900
1.00183451	3.64574100	1.90160800
1.00316851	3.64574100	1.90160800
1.00450251	3.64574100	1.81279900
1.00583651	3.64574100	1.90160800
1.00717051	3.64574100	1.81279900
1.00850451	3.64574100	1.90160800
1.00983851	3.64574100	1.81279900
1.01117251	3.64574100	1.90160800
1.01250651	3.64574100	1.81279900
1.01384051	3.64574100	1.90160800
1.01517451	3.64574100	1.81279900
1.01650851	3.64574100	1.90160800
1.01784251	3.64574100	1.81279900
1.01917651	3.64574100	1.90160800
1.02051051	3.46751300	1.90160800
1.02184451	3.46751300	1.90160800
1.02317851	3.64574100	1.90160800
1.02451251	3.64574100	1.81279900
1.02584651	3.64574100	1.90160800
1.02718051	3.64574100	1.81279900
1.02851451	3.64574100	1.90160800
1.02984851	3.64574100	1.90160800
1.03118251	3.64574100	1.90160800
1.03251651	3.64574100	1.90160800
1.03385051	3.64574100	1.81279900
1.03518451	3.46751300	1.90160800
1.03651851	3.46751300	1.90160800
1.03785251	3.46751300	1.81279900
1.03918651	3.46751300	1.81279900
1.04052051	3.64574100	1.90160800
1.04185451	3.46751300	1.81279900
1.04318851	3.64574100	1.90160800
1.04452251	3.64574100	1.81279900
1.04585651	3.64574100	1.90160800
1.04719051	3.64574100	1.81279900
1.04852451	3.64574100	1.90160800
1.04985851	3.64574100	1.90160800
1.05119251	3.64574100	1.90160800
1.05252651	3.64574100	1.90160800
1.05386051	3.64574100	1.90160800
1.05519451	3.64574100	1.90160800
1.05652851	3.46751300	1.90160800
1.05786251	3.46751300	1.90160800
1.05919651	3.46751300	1.90160800
1.06053051	3.64574100	1.90160800
1.06186451	3.64574100	1.90160800
1.06319851	3.46751300	1.90160800
1.06453251	3.64574100	1.90160800
1.06586651	3.64574100	1.90160800
1.06720051	3.64574100	1.81279900
1.06853451	3.64574100	1.81279900
1.06986851	3.64574100	1.90160800
1.07120251	3.46751300	1.90160800
1.07253651	3.64574100	1.90160800
1.07387051	3.46751300	1.90160800
1.07520451	3.46751300	1.90160800
1.07653851	3.64574100	1.81279900
1.07787251	3.46751300	1.90160800
1.07920651	3.46751300	1.90160800
1.08054051	3.64574100	1.90160800
1.08187451	3.64574100	1.90160800
1.08320851	3.64574100	1.90160800
1.08454251	3.46751300	1.90160800
1.08587651	3.46751300	1.90160800
1.08721051	3.46751300	1.90160800
1.08854451	3.64574100	1.90160800
1.08987851	3.64574100	1.90160800
1.09121251	3.46751300	1.90160800
1.09254651	3.64574100	1.90160800
1.09388051	3.46751300	1.90160800
1.09521451	3.46751300	1.90160800
1.09654851	3.46751300	1.90160800
1.09788251	3.46751300	1.90160800
1.09921651	3.64574100	1.90160800
1.10055051	3.46751300	1.90160800
1.10188451	3.46751300	1.81279900
1.10321851	3.46751300	1.90160800
1.10455251	3.64574100	1.90160800
1.10588651	3.46751300	1.90160800
1.10722051	3.46751300	1.90160800
1.10855451	3.64574100	1.90160800
1.10988851	3.46751300	1.90160800
1.11122251	3.46751300	1.81279900
1.11255651	3.46751300	1.90160800
1.11389051	3.46751300	1.90160800
1.11522451	3.46751300	1.90160800
1.11655851	3.46751300	1.90160800
1.11789251	3.46751300	1.90160800
1.11922651	3.46751300	1.90160800
1.12056051	3.46751300	1.90160800
1.12189451	3.46751300	1.90160800
1.12322851	3.46751300	1.90160800
1.12456251	3.46751300	1.90160800
1.12589651	3.46751300	1.90160800
1.12723051	3.46751300	1.90160800
1.12856451	3.64574100	1.90160800
1.12989851	3.46751300	1.90160800
1.13123251	3.64574100	1.90160800
1.13256651	3.46751300	1.90160800
1.13390051	3.46751300	1.90160800
1.13523451	3.46751300	1.90160800
1.13656851	3.46751300	1.90160800
1.13790251	3.46751300	1.90160800
1.13923651	3.46751300	1.90160800
1.14057051	3.46751300	1.90160800
1.14190451	3.46751300	1.90160800
1.14323851	3.46751300	1.90160800
1.14457251	3.46751300	1.90160800
1.14590651	3.46751300	1.90160800
1.14724051	3.64574100	1.90160800
1.14857451	3.64574100	1.90160800
1.14990851	3.64574100	1.90160800
1.15124251	3.46751300	1.81279900
1.15257651	3.46751300	1.90160800
1.15391051	3.46751300	1.90160800
1.15524451	3.46751300	1.90160800
1.15657851	3.46751300	1.90160800
1.15791251	3.46751300	1.90160800
1.15924651	3.46751300	1.90160800
1.16058051	3.46751300	1.90160800
1.16191451	3.46751300	1.90160800
1.16324851	3.46751300	1.90160800
1.16458251	3.46751300	1.90160800
1.16591651	3.46751300	1.90160800
1.16725051	3.46751300	1.90160800
1.16858451	3.46751300	1.90160800
1.16991851	3.64574100	1.90160800
1.17125251	3.46751300	1.90160800
1.17258651	3.46751300	1.90160800
1.17392051	3.46751300	1.90160800
1.17525451	3.46751300	1.90160800
1.17658851	3.46751300	1.90160800
1.17792251	3.46751300	1.90160800
1.17925651	3.46751300	1.90160800
1.18059051	3.46751300	1.90160800
1.18192451	3.46751300	1.99011200
1.18325851	3.46751300	1.90160800
1.18459251	3.46751300	1.90160800
1.18592651	3.46751300	1.90160800
1.18726051	3.46751300	1.90160800
1.18859451	3.46751300	1.90160800
1.18992851	3.64574100	1.90160800
1.19126251	3.46751300	1.90160800
1.19259651	3.46751300	1.90160800
1.19393051	3.46751300	1.90160800
1.19526451	3.46751300	1.90160800
1.19659851	3.46751300	1.90160800
1.19793251	3.46751300	1.90160800
1.19926651	3.46751300	1.90160800
1.20060051	3.46751300	1.90160800
1.20193451	3.46751300	1.90160800
1.20326851	3.46751300	1.90160800
1.20460251	3.46751300	1.90160800
1.20593652	3.46751300	1.90160800
1.20727052	3.64574100	1.90160800
1.20860452	3.64574100	1.90160800
1.20993852	3.46751300	1.90160800
1.21127252	3.46751300	1.90160800
1.21260652	3.46751300	1.90160800
1.21394052	3.46751300	1.90160800
1.21527452	3.46751300	1.90160800
1.21660852	3.46751300	1.90160800
1.21794252	3.46751300	1.90160800
1.21927652	3.46751300	1.90160800
1.22061052	3.46751300	1.90160800
1.22194452	3.46751300	1.90160800
1.22327852	3.46751300	1.90160800
1.22461252	3.46751300	1.90160800
1.22594652	3.46751300	1.90160800
1.22728052	3.46751300	1.90160800
1.22861452	3.46751300	1.90160800
1.22994852	3.46751300	1.90160800
1.23128252	3.46751300	1.90160800
1.23261652	3.46751300	1.90160800
1.23395052	3.46751300	1.90160800
1.23528452	3.46751300	1.90160800
1.23661852	3.46751300	1.90160800
1.23795252	3.46751300	1.90160800
1.23928652	3.46751300	1.90160800
1.24062052	3.46751300	1.90160800
1.24195452	3.46751300	1.90160800
1.24328852	3.46751300	1.90160800
1.24462252	3.46751300	1.90160800
1.24595652	3.46751300	1.90160800
1.24729052	3.64574100	1.90160800
1.24862452	3.46751300	1.90160800
1.24995852	3.46751300	1.90160800
1.25129252	3.46751300	1.90160800
1.25262652	3.46751300	1.90160800
1.25396052	3.46751300	1.90160800
1.25529452	3.46751300	1.90160800
1.25662852	3.46751300	1.99011200
1.25796252	3.46751300	1.90160800
1.25929652	3.46751300	1.90160800
1.26063052	3.46751300	1.90160800
1.26196452	3.46751300	1.90160800
1.26329852	3.46751300	1.90160800
1.26463252	3.46751300	1.90160800
1.26596652	3.46751300	1.90160800
1.26730052	3.46751300	1.90160800
1.26863452	3.64574100	1.90160800
1.26996852	3.46751300	1.90160800
1.27130252	3.64574100	1.90160800
1.27263652	3.46751300	1.90160800
1.27397052	3.46751300	1.99011200
1.27530452	3.46751300	1.90160800
1.27663852	3.46751300	1.90160800
1.27797252	3.46751300	1.99011200
1.27930652	3.46751300	1.90160800
1.28064052	3.46751300	1.90160800
1.28197452	3.46751300	1.90160800
1.28330852	3.46751300	1.90160800
1.28464252	3.46751300	1.90160800
1.28597652	3.46751300	1.99011200
1.28731052	3.64574100	1.90160800
1.28864452	3.46751300	1.90160800
1.28997852	3.46751300	1.90160800
1.29131252	3.46751300	1.90160800
1.29264652	3.46751300	1.99011200
1.29398052	3.46751300	1.90160800
1.29531452	3.46751300	1.90160800
1.29664852	3.46751300	1.90160800
1.29798252	3.46751300	1.90160800
1.29931652	3.46751300	1.90160800
1.30065052	3.46751300	1.90160800
1.30198452	3.46751300	1.90160800
1.30331852	3.46751300	1.90160800
1.30465252	3.46751300	1.90160800
1.30598652	3.46751300	1.99011200
1.30732052	3.46751300	1.90160800
1.30865452	3.64574100	1.90160800
